RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
196.4,102.5,185.9,-1,-1,127.5,-1,-1,308,281.7,-1,452.3,427.1,-1,422.1,-1
202.6,118.8,178.7,-1,-1,122.5,-1,-1,235.1,310.4,-1,475.1,398.7,-1,368.3,-1
252.6,129,219.5,-1,-1,155.8,-1,-1,229.6,336.1,-1,469.4,406.4,-1,318.8,-1
263.9,-1,209.3,-1,-1,136.3,-1,-1,299.1,367.7,-1,590.2,463.1,-1,389.3,-1
250.7,-1,183.6,-1,-1,170.5,-1,-1,404.3,331.8,-1,600,482.7,-1,395.8,-1
266.9,-1,187.7,-1,-1,165.6,-1,-1,411,347.5,-1,531.8,463.5,-1,470.4,-1
270.2,-1,218.6,-1,-1,180,-1,-1,338.6,467.3,-1,786.3,593,-1,459.5,-1
271.9,-1,250.8,-1,-1,195,-1,-1,451.7,596.9,-1,882.5,790.8,-1,448.4,-1
335.1,-1,314.2,-1,-1,-1,-1,-1,582.1,517.1,-1,749.4,647.4,-1,435.6,-1
306.3,257.8,282.5,-1,-1,-1,-1,-1,617.8,664.1,-1,879.8,727.6,-1,578.7,-1
400,209,315,-1,-1,-1,-1,-1,695,799,-1,1329,900,-1,657,-1
445,250,350,-1,-1,-1,-1,-1,713,887,-1,1500,950,-1,767,-1
-1,-1,-1,-1,-1,275,-1,-1,-1,1100,-1,1800,-1,-1,660,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,913,-1,-1,-1,-1,1000,-1
563,339,484,-1,-1,519,-1,-1,1021,1519,-1,1450,1346,-1,1003,-1
722,392,562,407,387,450,1600,342,980,1409,1311,1843,1367,-1,996,1894
936,-1,700,498,-1,502,-1,-1,1210,1644,-1,1848,1554,-1,1082,-1
932,418,694,424,336,566,-1,430,1395,1779,1196,1403,1368,1034,1366,-1
-1,474,582,-1,-1,519,-1,-1,1145,1657,-1,2006,1512,-1,1285,-1
-1,510,775,-1,-1,487,-1,-1,1230,1453,-1,2242,1330,-1,1172,-1
-1,516,783,-1,-1,602,-1,-1,1563,1475,-1,2202,1645,-1,1145,-1
-1,489,750,-1,-1,606,-1,-1,1528,1388,-1,2619,1336,-1,1356,-1
-1,511,693,-1,-1,692,-1,-1,1596,1863,-1,2150,1440,-1,1223,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
859,545,704,-1,536,603,-1,-1,1528,1690,-1,-1,1571,-1,1783,-1
840,629,891,-1,-1,697,-1,-1,1736,1762,-1,2576,1675,-1,1700,-1
865,653,1068,-1,-1,605,-1,-1,2291,2047,-1,2967,1701,-1,-1,-1
1009,662,1162,-1,-1,693,-1,-1,2269,2327,2714,3861,2154,-1,-1,-1
-1,1060,1137,-1,-1,817,-1,933,2218,2565,2488,4298,2339,-1,2160,-1
-1,1239,1221,-1,-1,841,-1,-1,1835,3225,3402,5917,1900,-1,2583,-1
985,1019,1217,1017,1613,-1,-1,800,2450,3199,4347,4904,2267,-1,3146,-1
-1,1077,1114,980,1420,1154,-1,-1,3794,3583,4234,4871,2604,-1,3156,-1
1708,1277,1437,3000,-1,1075,-1,2520,4195,3785,5563,7205,2991,-1,3503,-1
1922,1257,1585,3500,3233,2946,-1,3456,4185,4867,5421,7686,3036,-1,4008,-1
1997,1323,1594,1557,2085,1796,-1,1933,3885,5315,5856,11000,3827,2350,3848,-1
2197,1338,1917,1616,2500,2207,-1,2033,4940,8010,7003,8393,4416,2220,3862,-1
2312,1364,2115,1698.5,3500,1880,-1,2430,5646,4942,5689,7852,5190,-1,4066,-1
71.6,-1,-1,-1,-1,45,-1,-1,-1,96.9,110.9,153.1,149.9,-1,97.4,-1
75.3,-1,-1,-1,-1,42,-1,-1,-1,118.9,96.9,141.2,123.4,-1,197.3,-1
82.5,-1,-1,-1,-1,40.3,-1,-1,-1,87.9,89,121.1,124.7,-1,156.8,-1
80.3,-1,-1,-1,-1,-1,-1,-1,-1,92.5,94.9,-1,132.5,-1,85.1,-1
72.1,-1,-1,-1,-1,40,-1,-1,-1,96.4,123.7,168.8,159.3,-1,105.9,-1
75.7,-1,-1,-1,-1,49.3,-1,-1,-1,106.2,130,176.3,159,-1,136.8,-1
102.1,-1,-1,-1,-1,51,-1,-1,-1,116.4,138.2,218.5,176.8,-1,188.8,-1
122.7,-1,-1,-1,-1,58.1,-1,-1,-1,164.4,190.6,241.8,291.6,-1,206.7,-1
180.3,-1,-1,-1,-1,106.6,-1,-1,-1,225.9,207,287.4,264.8,-1,215.8,-1
